blockNumber,min,median,max,volume_USDC,volume_wETH
26432011,195674,195675,195676,7203.97839,2.2650058096880987
26432161,195671,195673,195674,18428.003029,5.794008740457758
26432311,195670,195672,195673,9691.41432,3.0461221161313152
26432461,195671,195672,195673,14976.798151,4.709394657894599
26432611,195670,195670,195670,4473.718905000001,1.405921592833279
26432761,195667,195670,195675,37566.378194,11.813074514332113
26432911,195676,195676,195677,3868.336316,1.217324532881404
26433061,195677,195678,195678,5220.286172000001,1.6430303864844278
26433211,195676,195676.5,195678,7630.434398000001,2.3995093511494354
26433361,195676,195677,195679,9489.614105,2.986596609173012
26433511,195671,195673,195678,43557.879819999995,13.695946054128296
26433661,195674,195678,195681,32428.974406999998,10.205836099835265
26433811,195678,195679,195681,7768.904082,2.443387009898394
26433961,195678,195679.5,195682,29478.454439,9.278356058389067
26434111,195678,195680,195681,11464.183287,3.605710017404563
26434261,195678,195679,195679,3340.191071,1.051477375470662
26434411,195681,195682,195687,30050.642851999994,9.463380520121353
26434561,195688,195693,195698,38621.288498,12.174455468165794
26434711,195698,195710.5,195711,54226.151725,17.113972228904608
26434861,195699,195707,195709,41157.99706,12.977673114196142
26435011,195493,195567,195698,1416791.8418299998,440.7835600993439
26435161,195505,195518,195538,419873.45934500004,130.0303439949799
26435311,195505,195524,195547,400721.49451899994,124.15925602843757
26435461,195482,195494,195509,279651.895991,86.37004778680858
